symbol,yahoo_symbol,company_name,isin,isin_valid,segment,exchange,listing_series,current_series,surveillance_band,surveillance_remarks,listing_date,face_value,paidup_value,market_lot,etf_underlying,previous_symbol,symbol_change_date,previous_company_name,name_change_date,nifty_industry,in_nifty50,in_nifty_next50,in_nifty100,in_nifty200,in_nifty500,data_sources,pipeline_run_at
MUTHOOTCAP,MUTHOOTCAP.NS,Muthoot Capital Services Limited,INE296G01013,True,EQUITY,NSE,EQ,EQ,20,-,2015-08-24,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
MUTHOOTFIN,MUTHOOTFIN.NS,Muthoot Finance Limited,INE414G01012,True,EQUITY,NSE,EQ,EQ,No Band,-,2011-05-06,10.0,10.0,1.0,,,,,,Financial Services,False,True,True,True,True,EQUITY_L;sec_list;nifty_next50;nifty100;nifty200;nifty500,2026-07-06T15:21:16+00:00
MUTHOOTMF,MUTHOOTMF.NS,Muthoot Microfin Limited,INE046W01019,True,EQUITY,NSE,EQ,EQ,20,-,2023-12-26,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
MVGJL,MVGJL.NS,Manoj Vaibhav Gems N Jewellers Limited,INE0KNT01012,True,EQUITY,NSE,EQ,EQ,20,-,2023-10-03,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
MWL,MWL.NS,Mangalam Worldwide Limited,INE0JYY01011,True,EQUITY,NSE,EQ,EQ,20,-,2025-09-18,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NACLIND,NACLIND.NS,NACL Industries Limited,INE295D01020,True,EQUITY,NSE,EQ,EQ,20,-,2017-04-07,1.0,1.0,1.0,,NAGAAGRI,2017-09-29,Nagarjuna Agrichem Limited,2017-09-29,,False,False,False,False,False,EQUITY_L;sec_list;symbolchange;namechange,2026-07-06T15:21:16+00:00
NAGAFERT,NAGAFERT.NS,Nagarjuna Fertilizers and Chemicals Limited,INE454M01024,True,EQUITY,NSE,BZ,,,,2016-06-15,1.0,1.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L,2026-07-06T15:21:16+00:00
NAGREEKCAP,NAGREEKCAP.NS,Nagreeka Capital & Infrastructure Limited,INE245I01016,True,EQUITY,NSE,BE,BE,5,-,2007-09-18,5.0,5.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NAGREEKEXP,NAGREEKEXP.NS,Nagreeka Exports Limited,INE123B01028,True,EQUITY,NSE,EQ,EQ,20,-,2007-06-18,5.0,5.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NAHARCAP,NAHARCAP.NS,Nahar Capital and Financial Services Limited,INE049I01012,True,EQUITY,NSE,EQ,EQ,20,-,2008-03-11,5.0,5.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
